"16cell_1-10" "4cell_2-2" "8cell_1-4" "early2cell_0-2" "earlyblast_3-12" "late2cell_5-2" "lateblast_1-10" "mid2cell_0-1" "midblast_1-12" "zy1"
"0610005C13Rik" 545 253 0 0 0 1440 0 46 0 0
"0610007C21Rik" 730 660 359 1 737 3676 138 886 740 194
"0610007L01Rik" 76 1646 15 963 0 127 1414 474 73 4940
"0610007P08Rik" 314 0 1 16 0 20 173 26 210 323
"0610007P14Rik" 516 109 22 2035 2355 1679 87 72 640 2501
"0610007P22Rik" 10 1102 135 41 1219 1468 2 251 1107 96
"0610008F07Rik" 0 0 0 0 0 172 0 0 0 0
"0610009B14Rik" 0 0 0 0 0 0 0 0 0 0
"0610009B22Rik" 486 119 1 339 1450 225 878 9 984 1549
"0610009D07Rik" 6271 1153 517 144 2736 23934 2781 2177 2117 18
"0610009L18Rik" 0 0 0 85 0 117 0 0 0 176
"0610009O20Rik" 0 0 0 0 2413 0 312 0 21 90
"0610010B08Rik" 0 0.333333333333333 0.666666666666667 0 0 0.666666666666667 2.66666666666667 1.66666666666667 2.66666666666667 1
"0610010B08Rik|Gm14308|Gm14430|Gm14434" 2.66666666666667 0.333333333333333 0.333333333333333 5 0 8.33333333333333 12.3333333333333 1 5 4.33333333333333
"0610010F05Rik" 0 0 4 61 0 0 1 27 0 289
"0610010K14Rik" 1043 143 264 317 2032 1428 914 166 955 896
"0610010O12Rik" 927 553 48 84 1407 57 2146 5 384 8
"0610011F06Rik" 0 297 79 0 950 5 629 40 1534 176
"0610011L14Rik" 516 6 0 0 0 83 333 256 2228 0
"0610012G03Rik" 137 309 4 39 33 3747 2 84 40 243
"0610012H03Rik" 0 0 0 0 0 0 0 0 0 0
"0610030E20Rik" 0 211 140 0 805 485 42 5 103 317
"0610031J06Rik" 741 1921 374 91 3170 3074 1054 205 4721 64
"0610037L13Rik" 243 36 144 170 624 31 494 68 510 432
"0610037P05Rik" 909 1 172 1092 49 390 249 225 1330 1438
"0610038B21Rik" 0 0 0 0 0 319 0 0 0 0
"0610039K10Rik" 0 0 0 0 0 0 0 1 0 0
"0610040B10Rik" 0 0 0 0 0 0 0 0 1 10
"0610040J01Rik" 0 259 0 442 0 241 33 992 0 428
"0610043K17Rik" 0 1 0 0 0 0 0 0 0 0
"0910001L09Rik" 75 77 34 0 1676 3 611 0 306 107
"100043387" 0 0 0 0 0 0 0 0 0 0
"1100001G20Rik" 0 0 0 3 0 0 0 0 0 0
"1110001A16Rik" 498 73 26 0 0 31 346 1 694 2
"1110001J03Rik" 613 5 28 71 6 15 442 16 334 618
"1110002B05Rik" 1453 281 128 708 3786 1493 2509 120 2341 501
"1110002L01Rik" 0 0 1 0 0 112 0 15 154 7
"1110002N22Rik" 485 1216 57 44 0 8146 413 130 1222 166
"1110003E01Rik" 0 0 6 4542 736 2463 29 2401 20 13390
"1110004E09Rik" 182 447 199 1204 2 4165 678 443 247 5130
"1110004F10Rik" 1207 190 64 7 154 776 3881 4 5848 340
"1110005A03Rik" 57 0 7 86 966 41 19 2 206 0
"1110006O24Rik" 0 0 22 2 0 0 0 0 0 45
"1110007C09Rik" 0 0 0 1 0 0 0 2 0 12
"1110008F13Rik" 0 17 22 47 679 760 103 2 220 87
"1110008J03Rik" 386 281 181 3 0 1681 0 240 0 838
"1110008L16Rik" 400 1657 45 765 0 1694 5 126 510 425
"1110008P14Rik" 680 241 40 0 676 8 371 0 0 20
"1110012D08Rik" 0 0 0 0 0 0 0 0 524 137
"1110012J17Rik" 118 0 0 321 2381 1423 13 6 109 814
"1110012L19Rik" 1087 1040 0 1683 2131 27 10 61 0 2884
"1110014N23Rik" 3 0 23 4 0 4 0 0 4 129
"1110017D15Rik" 0 0 1 0 0 3 0 0 0 0
"1110017F19Rik" 0 0 0 0 0 0 0 0 0 0
"1110018G07Rik" 277 323 285 1559 0 414 5 744 32 4527
"1110018J18Rik" 0 0 0 0 0 1 0 0 3 0
"1110020A21Rik" 0 0 19 0 0 48 0 0 0 88
"1110020G09Rik" 226 9 0 264 0 519 44 315 35 716
"1110021J02Rik" 75 110 0 15 3 243 122 4 968 54
"1110021L09Rik" 1 299 0 745 0 84 1 192 0 1043
"1110028C15Rik" 0 1 25 311 0 134 0 41 36 240
"1110031I02Rik" 68 479 0 15 0 341 6 5 406 24
"1110032A03Rik" 0 123 0 104 0 1 16 5 681 14
"1110032A04Rik" 0 0 0 113 0 0 0 2 0 136
"1110032F04Rik" 0 0 0 0 0 0 0 0 0 0
"1110034A24Rik" 45 391 161 58 0 1771 556 0 326 0
"1110034B05Rik" 2 413 26 90 0 1295 335 6 413 274
"1110034G24Rik" 0 402 20 391 0 6 692 189 320 411
